Número do Experimento,Código,Tempo de treinamento (s),Erro de teste,Última perda de treinamento
1,T30AMSEL165C,"309,2992144","1,267476537","0,0005662778276"
2,T30AMSEL166C,"335,7674155","1,139430026","0,0005809877184"
3,T30AMSEL169C,"648,0317595","1,269935849","0,0007074894384"
4,T30AMSEL16XC,"671,3946266","1,281312926","0,0007808553055"
5,T30AMSEL16GC,"341,6910245","1,652206666","0,0005691424594"
6,T30AMSEL325C,"175,6805449","1,46467644","0,0005697978777"
7,T30AMSEL326C,"153,1958838","1,510104573","0,0005930616753"
8,T30AMSEL329C,"334,1662521","2,14005614","0,0006706135464"
9,T30AMSEL32XC,"350,5328231","1,298944847","0,0007203138666"
10,T30AMSEL32GC,"222,9520109","1,483519802","0,0005974632222"
11,T30AMSEL645C,"99,55468893","1,675306439","0,0005682730116"
12,T30AMSEL646C,"100,3081293","1,282643084","0,0006594962324"
13,T30AMSEL649C,"227,3261757","2,969784336","0,0008066240116"
14,T30AMSEL64XC,"236,5578325","2,634929372","0,0007435891312"
15,T30AMSEL64GC,"101,1345243","1,225892401","0,0006457719719"
16,T30AMSEC165C,"502,0826375","1,498728868","0,0005688433885"
17,T30AMSEC166C,"568,6335263","1,437130018","0,000517124834"
18,T30AMSEC169C,"1207,482234","2,089870015","0,0005901011755"
19,T30AMSEC16XC,"988,5425799","1,638430786","0,0006963916821"
20,T30AMSEC16GC,"571,0674117","1,466594543","0,0005104313605"
21,T30AMSEC325C,"323,4639959","1,798525436","0,0005698634777"
22,T30AMSEC326C,"332,1223183","1,360894365","0,0005476305378"
23,T30AMSEC329C,"614,5424821","1,657811704","0,0006078952574"
24,T30AMSEC32XC,"669,5287495","1,585794122","0,000636310433"
25,T30AMSEC32GC,"332,239984","1,576113567","0,0005414522602"
26,T30AMSEC645C,"214,4431465","1,231710368","0,0005187013885"
27,T30AMSEC646C,"222,2375641","1,767071929","0,0006150329718"
28,T30AMSEC649C,"461,8396604","2,119162569","0,0006122276536"
29,T30AMSEC64XC,"451,8678751","1,886658603","0,0006424030871"
30,T30AMSEC64GC,"195,8387034","1,288610791","0,0005548264598"
31,T30AMAEL165C,"286,8333244","1,18598433","0,011960214"
32,T30AMAEL166C,"276,4175408","1,384410677","0,01266172901"
33,T30AMAEL169C,"588,0238612","2,575964877","0,01396618225"
34,T30AMAEL16XC,"597,0752623","1,298976696","0,01411629375"
35,T30AMAEL16GC,"270,4083302","1,281568049","0,01211935375"
36,T30AMAEL325C,"157,2052822","1,338855994","0,01275309268"
37,T30AMAEL326C,"165,4505708","1,767479235","0,01202071179"
38,T30AMAEL329C,"345,7158892","2,262167251","0,01350567397"
39,T30AMAEL32XC,"364,285213","1,805476602","0,01327804942"
